"filename", "language", "JSON with Comments", "JavaScript", "CSS", "HTML", "TypeScript", "JSON", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\interface\equipo.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\interface\estado.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\interface\notificacion.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\interface\ordenes_mantenimiento.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\interface\persona.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\interface\prioridad.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\interface\rol.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\services\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 4, 3, 56
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\services\estadoservice.service.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\services\local-storage.service.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 7, 38
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\services\persona.service.ts", "TypeScript", 0, 0, 0, 0, 93, 0, 0, 0, 7, 15, 115
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\services\prioridades.service.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\services\rolservice.service.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\services\socket.service.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 6, 45
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\services\sordenes.service.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 10, 55
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\services\teamserv.service.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 3, 8, 65
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\shared\header\header.component.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\shared\header\header.component.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\shared\nav\nav.component.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\shared\nav\nav.component.html", "HTML", 0, 0, 0, 26, 0, 0, 0, 0, 8, 2, 36
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\app\shared\nav\nav.component.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 16, 12, 68
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Email.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Exit.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Home.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Info.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\LogOut.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Notificacion.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\PassShow.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Passicon2.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Plus.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Register.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Search.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Team.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\Trash.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\User.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\lock-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\icon\modificar.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\assets\img\Header.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\main.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\src\styles.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\tailwind.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 1, 1, 15
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\tsconfig.json", "JSON with Comments", 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Kadir\OneDrive\Escritorio\Front-Project\Front-Developwork\tsconfig.spec.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 1, 1, 15
"Total", "-", 35, 7, 152, 812, 1211, 13666, 44, 14, 137, 377, 16455
